120.0,1.5180999
121.0,2.1698162
122.0,3.0794546
123.0,4.3396324
124.0,6.0723995
125.0,8.4371545
126.0,11.640186
127.0,15.946013
128.0,21.69065
129.0,29.296875
130.0,39.291471
131.0,52.324314
132.0,69.189001
133.0,90.844542
134.0,118.43741
135.0,153.32296
136.0,197.0851
137.0,251.5525
138.0,318.80986
139.0,401.20203
140.0,501.32892
141.0,622.02905
142.0,766.34943
143.0,937.5
144.0,1138.7909
145.0,1373.5515
146.0,1645.0314
147.0,1956.283
148.0,2310.0291
149.0,2708.5164
150.0,3153.3616
151.0,3645.3928
152.0,4184.496
153.0,4769.4714
154.0,5397.9095
155.0,6066.0952
156.0,6768.947
157.0,7500
158.0,8251.4388
159.0,9014.1829
160.0,9778.0288
161.0,10531.847
162.0,11263.828
163.0,11961.778
164.0,12613.446
165.0,13206.874
166.0,13730.76
167.0,14174.814
168.0,14530.095
169.0,14789.306
170.0,14947.047
171.0,15000
172.0,14947.047
173.0,14789.306
174.0,14530.095
175.0,14174.814
176.0,13730.76
177.0,13206.874
178.0,12613.446
179.0,11961.778
180.0,11263.828
181.0,10531.847
182.0,9778.0288
183.0,9014.1829
184.0,8251.4388
185.0,7500
186.0,6768.947
187.0,6066.0952
188.0,5397.9095
189.0,4769.4714
190.0,4184.496
191.0,3645.3928
192.0,3153.3616
193.0,2708.5164
194.0,2310.0291
195.0,1956.283
196.0,1645.0314
197.0,1373.5515
198.0,1138.7909
199.0,937.5
200.0,766.34943
201.0,622.02905
202.0,501.32892
203.0,401.20203
204.0,318.80986
205.0,251.5525
206.0,197.0851
207.0,153.32296
208.0,118.43741
209.0,90.844542
210.0,69.189001
211.0,52.324314
212.0,39.291471
213.0,29.296875
214.0,21.69065
215.0,15.946013
216.0,11.640186
217.0,8.4371545
218.0,6.0723995
219.0,4.3396324
220.0,3.0794546
221.0,2.1698162
222.0,1.5180999
223.0,1.0546443
224.0,0.72751164
225.0,0.49831291
226.0,0.33891641
227.0,0.22888184
228.0,0.15348231
229.0,0.10219592
230.0,0.067567383
231.0,0.044357687
232.0,0.028915383
233.0,0.018716182
234.0,0.01202912
235.0,0.007676773
236.0,0.0048646524
237.0,0.0030609285
238.0,0.0019124181
239.0,0.0011864263
240.0,0.00073084777
241.0,0.00044703484
242.0,0.0002715089
243.0,0.0001637401
244.0,9.805151e-05
245.0,5.8301777e-05
246.0,3.4422115e-05
247.0,2.018002e-05
248.0,1.1747187e-05
249.0,6.7900732e-06
250.0,3.8971156e-06
